CZ ,Name_of_CZ,Census_2000_population,State_Abbrev.,State,Urban_Areas,p25_coef,p25_se,p25_se_boot
13800,Wayne,129528,IN,Indiana,0,0.163,0.383,0.408
13900,Center,192308,IN,Indiana,1,0.387,0.350,0.373
14000,Muncie,415487,IN,Indiana,1,-0.138,0.241,0.293
14100,Fort Wayne,557161,IN,Indiana,1,-0.092,0.226,0.273
14200,Indianapolis,1507346,IN,Indiana,1,-0.059,0.129,0.146
14300,Columbus,163284,IN,Indiana,1,-0.022,0.372,0.329
14400,Terre Haute,261832,IN,Indiana,1,0.090,0.298,0.312
14500,Lafayette,347966,IN,Indiana,1,0.459,0.266,0.275
14600,Bloomington,280923,IN,Indiana,1,0.541,0.316,0.326
14700,Evansville,388604,IN,Indiana,1,0.389,0.366,0.392
14801,Olney,55642,IL,Illinois,0,0.524,0.732,0.871
14802,Vincennes,54708,IN,Indiana,0,-0.340,0.690,1.081
14900,Gary,675971,IN,Indiana,1,0.025,0.144,0.145
15000,Canton,700866,OH,Ohio,1,0.159,0.187,0.189
15100,Lorain,423702,OH,Ohio,1,0.036,0.207,0.194
15200,Cleveland,2661167,OH,Ohio,1,0.124,0.107,0.100
15300,Parkersburg,202967,WV,West Virginia,1,-0.046,0.401,0.419
15400,Zanesville,188410,OH,Ohio,1,0.253,0.274,0.308
15500,Steubenville,132008,OH,Ohio,1,0.129,0.398,0.380
15600,Wheeling,195637,WV,West Virginia,1,0.666,0.395,0.504
15700,Scioto,225682,OH,Ohio,0,-0.171,0.283,0.283
15800,Athens,142321,OH,Ohio,0,-0.147,0.387,0.421
15900,Columbus,1663807,OH,Ohio,1,-0.016,0.122,0.129
16000,Mansfield,326186,OH,Ohio,1,0.131,0.262,0.241
16100,State College,310658,PA,Pennsylvania,1,0.065,0.296,0.286
16200,Altoona,411749,PA,Pennsylvania,1,0.418,0.275,0.261
16300,Pittsburgh,2561364,PA,Pennsylvania,1,-0.056,0.125,0.112
16400,Youngstown,809682,OH,Ohio,1,-0.167,0.166,0.159
